kaykit/board-game-bits-1.0/card_joker_B	0.3657
kaykit/board-game-bits-1.0/card_spades_ace	0.3657
kaykit/board-game-bits-1.0/card_spades_eight	0.3657
kaykit/board-game-bits-1.0/card_spades_five	0.3657
kaykit/board-game-bits-1.0/card_spades_four	0.3657
kaykit/board-game-bits-1.0/card_spades_jack	0.3657
kaykit/board-game-bits-1.0/card_spades_king	0.3657
kaykit/board-game-bits-1.0/card_spades_nine	0.3657
kaykit/board-game-bits-1.0/card_spades_queen	0.3657
kaykit/board-game-bits-1.0/card_spades_seven	0.3657
kaykit/board-game-bits-1.0/card_spades_six	0.3657
kaykit/board-game-bits-1.0/card_spades_ten	0.3657
kaykit/board-game-bits-1.0/card_spades_three	0.3657
kaykit/board-game-bits-1.0/card_spades_two	0.3657
kaykit/board-game-bits-1.0/checker_black_double	0.4988
kaykit/board-game-bits-1.0/checker_black_single	0.3469
kaykit/board-game-bits-1.0/checker_white_double	0.4988
kaykit/board-game-bits-1.0/checker_white_single	0.3469
kaykit/board-game-bits-1.0/chess_black_bishop	0.1988
kaykit/board-game-bits-1.0/chess_black_king	0.1630
kaykit/board-game-bits-1.0/chess_black_knight	0.2760
kaykit/board-game-bits-1.0/chess_black_pawn	0.2700
kaykit/board-game-bits-1.0/chess_black_queen	0.1894
kaykit/board-game-bits-1.0/chess_black_rook	0.3909
kaykit/board-game-bits-1.0/chess_white_bishop	0.1988
kaykit/board-game-bits-1.0/chess_white_king	0.1630
kaykit/board-game-bits-1.0/chess_white_knight	0.2760
kaykit/board-game-bits-1.0/chess_white_pawn	0.2700
kaykit/board-game-bits-1.0/chess_white_queen	0.1894
kaykit/board-game-bits-1.0/chess_white_rook	0.3909
kaykit/board-game-bits-1.0/chip_A_blue	0.2645
kaykit/board-game-bits-1.0/chip_A_green	0.2645
kaykit/board-game-bits-1.0/chip_A_red	0.2645
kaykit/board-game-bits-1.0/chip_A_yellow	0.2645
kaykit/board-game-bits-1.0/chip_B_blue	0.2645
kaykit/board-game-bits-1.0/chip_B_green	0.2645
kaykit/board-game-bits-1.0/chip_B_red	0.2645
kaykit/board-game-bits-1.0/chip_B_yellow	0.2645
kaykit/board-game-bits-1.0/coin_10_copper	0.2956
kaykit/board-game-bits-1.0/coin_10_gold	0.2956
kaykit/board-game-bits-1.0/coin_10_silver	0.2956
kaykit/board-game-bits-1.0/coin_1_copper	0.2956
kaykit/board-game-bits-1.0/coin_1_gold	0.2956
kaykit/board-game-bits-1.0/coin_1_silver	0.2956
kaykit/board-game-bits-1.0/coin_2_copper	0.2956
kaykit/board-game-bits-1.0/coin_2_gold	0.2956
kaykit/board-game-bits-1.0/coin_2_silver	0.2956
kaykit/board-game-bits-1.0/coin_5_copper	0.2956
kaykit/board-game-bits-1.0/coin_5_gold	0.2956
kaykit/board-game-bits-1.0/coin_5_silver	0.2956
kaykit/board-game-bits-1.0/coin_copper	0.2956
kaykit/board-game-bits-1.0/coin_gold	0.2956
kaykit/board-game-bits-1.0/coin_silver	0.2956
kaykit/board-game-bits-1.0/container_A	0.3835
kaykit/board-game-bits-1.0/container_A_tall	0.5377
kaykit/board-game-bits-1.0/container_B	0.3521
kaykit/board-game-bits-1.0/container_B_tall	0.4621
kaykit/board-game-bits-1.0/container_C	0.4199
kaykit/board-game-bits-1.0/cube_blue	0.9287
kaykit/board-game-bits-1.0/cube_copper	0.9287
kaykit/board-game-bits-1.0/cube_gold	0.9287
kaykit/board-game-bits-1.0/cube_green	0.9287
kaykit/board-game-bits-1.0/cube_red	0.9287
kaykit/board-game-bits-1.0/cube_silver	0.9287
kaykit/board-game-bits-1.0/cube_yellow	0.9287
